"block","geno","fert","y"
"1","1",0,148.7
"1","1",50,154.2
"1","1",100,181.7
"1","1",150,190.3
"1","2",0,162.5
"1","2",50,172.4
"1","2",100,195.2
"1","2",150,214.9
"1","3",0,144.5
"1","3",50,181
"1","3",100,203.1
"1","3",150,232.9
"2","1",0,114.2
"2","1",50,135.3
"2","1",100,165.8
"2","1",150,173.6
"2","2",0,141.6
"2","2",50,154.7
"2","2",100,186.8
"2","2",150,221.2
"2","3",0,107.9
"2","3",50,141.8
"2","3",100,176.8
"2","3",150,197.2
"3","1",0,126.5
"3","1",50,142.6
"3","1",100,149.5
"3","1",150,174.3
"3","2",0,129.8
"3","2",50,159.6
"3","2",100,183
"3","2",150,198.5
"3","3",0,100.5
"3","3",50,143
"3","3",100,165.7
"3","3",150,192.5
"4","1",0,114.7
"4","1",50,142.1
"4","1",100,156.8
"4","1",150,177
"4","2",0,160.2
"4","2",50,166.2
"4","2",100,193.8
"4","2",150,205
"4","3",0,102.1
"4","3",50,130.6
"4","3",100,157.2
"4","3",150,186.6
